start	end	text
0	2000	¡Gracias!
30000	35000	2
35000	38000	3
38000	41000	4
41000	44000	5
44000	47000	6
47000	50000	7
50000	53000	8
53000	56000	9
56000	85980	¿Qué pasa?
86000	115980	Siguiente ejercicio.
116000	119380	Más al fondo
119380	122580	Así
146000	175980	¿Qué pasa?
176000	205980	¿Qué pasa?
206000	235980	¿Qué pasa?
236000	238000	Ayúdame.
266000	268000	Ah
268000	270000	Ah
270000	272000	Ah
272000	274000	Ah
274000	276000	Ah
276000	278000	Ah
278000	280000	Me quiero
280000	282000	Ah
282000	284000	Ah
284000	286000	Ah
286000	288000	Ah
288000	290000	Ah
290000	292000	Ah
292000	294000	Ah
294000	296000	Amigo.
324000	353980	¿Qué pasa?
354000	378720	¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Uh!
