start	end	text
0	5000	Tranquilo.
30000	33160	Arrrghyy!!
33240	34860	Arrrgh11!
34860	36300	ArrrghYY!!
36680	38740	Arrrghhhh!!
38860	40480	Arrrghhh!
40680	41680	Arrrgh!
42600	44020	Arrrghh!!
44500	45680	Arrrgh!!
45820	47080	Arrrghhh!
47100	48820	Arrrghhh!
48820	52960	Ha
52960	54920	Lucas페
54960	56920	Umm 2013
57000	57520	ah
58320	58820	Ah
59620	60280	oh
61940	62440	mmm
63380	63880	ahh
64940	65640	trabajando
66880	67340	ahh
68740	72740	granted
73000	73500	ahh
74320	74820	oh
75680	76180	ohh
77600	78100	ohh
79060	79680	ahh
80900	81400	ahh
82260	82760	ahh
83540	84040	ahh
84800	85300	ahh
85300	88300	ah
89300	92300	ah
93300	95300	ah
95300	99300	así
99300	101300	así
101300	104300	ah
104300	107300	ah
107300	110300	ah
110300	113300	ah
113300	115300	ah
143300	147300	y
147300	150300	a
150300	152300	a
152300	154300	a
154300	156300	a
156300	158300	a
158300	160300	a
160300	162300	a
162300	164300	a
164300	166300	a
166300	168300	a
168300	170300	a
170300	173300	ah
177300	179300	ah
180300	182300	ah
183300	186300	ah
187300	190300	ah
191300	194300	ah
195300	198300	ah
198300	210820	no
228300	240100	y
258300	276300	Bueno...
288300	290800	Oh!
291580	300800	Oh!
300800	303700	Oh!
303700	313700	Oh!
